N,Helstrom_Pe,Kennedy_beta0,Kennedy_opt,beta_star
1.1011105604560456,0.0030651254813680584,0.006111460974303031,0.005810408148542222,0.023502526931469966
1.1013105803580359,0.0030626665637496497,0.006106573274537821,0.0058059323630585856,0.023486989545445442
1.1015106002600261,0.003060209624826671,0.006101689483757581,0.005801459939522322,0.023471460902050763
1.1017106201620162,0.0030577546629970698,0.006096809598836037,0.005796990875505298,0.023455942406066004
1.1019106400640064,0.003055301676660127,0.006091933616649444,0.005792525168581079,0.02344043291898042
1.1021106599659967,0.003052850664216289,0.00608706153407657,0.005788062816324877,0.023424932448189946
1.102310679867987,0.0030504016240674448,0.006082193347998643,0.005783603816313542,0.023409441657398583
1.102510699769977,0.0030479545546167053,0.006077329055299412,0.0057791481661255886,0.02339396072809738
1.1027107196719672,0.003045509454268569,0.0060724686528651085,0.005774695863341192,0.02337848873897011
1.1029107395739575,0.003043066321428811,0.0060676121375844655,0.005770246905542167,0.023363026111859038
1.1031107594759477,0.0030406251545045393,0.0060627595063486635,0.005765801290311963,0.02334757285480713
1.1033107793779378,0.003038185951904082,0.006057910756051437,0.005761359015235727,0.02333212892483582
1.103510799279928,0.0030357487120371007,0.006053065883588953,0.005756920077900201,0.023316694355096354
1.1037108191819183,0.003033313433314644,0.006048224885859864,0.005752484475893795,0.02330126913150421
1.1039108390839085,0.0030308801141489816,0.006043387759765331,0.005748052206806577,0.02328585324160111
1.1041108589858986,0.003028448752953772,0.006038554502208977,0.005743623268230251,0.02327044674935414
1.1043108788878888,0.0030260193481437825,0.006033725110096892,0.005739197657758153,0.023255049267674764
1.104510898789879,0.0030235918981352805,0.006028899580337663,0.0057347753729852825,0.023239661561090193
1.1047109186918693,0.0030211664013458095,0.006024077909842312,0.005730356411508257,0.02322428297852727
1.1049109385938594,0.0030187428561940233,0.006019260095524375,0.005725940770925353,0.023208913710261476
1.1051109584958496,0.0030163212611000745,0.0060144461342998435,0.005721528448836486,0.02319355374043114
